"id","artwork_title","start_year","end_year","Esfera","Caixa","Argolas","Trilho","Taça","Taça_quebrada","Desenho/Fotografia","Cachimbo","Tabela_astronômica","Palavras","Caixa_dentro_da_caixa","Pássaro","Concha","Pedaços_de_madeira","Colagem","Espiral","Gradil/Compartimentação","Gaveta","Relógio/Bússola","Hotel","Areia","Pilar","Grade_de_arame","Médici","Frascos","Dispensador_de_areia","Boneca","Cubos_de_vidro","Folhas/pétalas"
53,"Mémoires_inédites_de_Madame_la_Marquise_de_la_Rochejaquelein_(Uncensored_recollections_of_the_Marquise_of_Rochejaquelein)",1943,1953,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,
54,"""Untitled_(Sequestered_Bower),_c._1948",1943,1943,"  ",1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
55,"""Untitled_(Large_Owl),_c._1948",1943,1943,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
56,"Paolo_and_Francesca",1943,1948,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
57,"Untitled_(Owl_Habitat)",1944,1954,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
58,"""Untitled_(Lighted_Dancer),_c._1949",1944,1954,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
59,"""Untitled_(Lighted_Owl),_c._1949",1944,1944,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,
60,"Untitled_(Sand_Box)",1944,1946,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,
61,"Homage_to_the_Romantic_Ballet_(for_the_Sylphide,_Lucille_Grahn)",1945,1955,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
62,"Museum",1945,1955,,1,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,
63,"Untitled_(Le_Zollverein_et_Brême)",1945,1946,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
64,"Rose_Castle",1945,1945,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
65,"Untitled_[Swan_Box]",1945,1948,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
66,"Untitled_(for_Stephanie)",1945,1949,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
67,"""Untitled_(Hôtel_du_Nord),_c._1950",1945,1945,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
68,"Owl_Box_(Boîte_à_hibou)",1945,1945,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
69,"""Untitled_(Forgotten_Game),_c._1949",1945,1945,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,
70,"Untitled_(Woodpecker_Habitat)",1946,1946,,1,,,,,1,,,,,1,,1,,1,,,,,,,,,,,,,
71,"Untitled_(Paul_and_Virginia)",1946,1948,1,1,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
72,"Untitled_(Decoupage_Cabinet,_Comédies_et_proverbes)",1947,1947,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
73,"Soap_Bubble_Set",1947,1948,1,1,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,
74,"Les_caprices_de_Gizelle_[Gizelle's_caprices]",1947,1947,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
75,"Untitled_(Sandbox)",1948,1948,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
76,"Celestial_Navigation_by_Birds",1948,1948,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
77,"Untitled_(Bird_Box)",1948,1948,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
78,"""Untitled_(Bird),_1948",1948,1958,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
79,"""Untitled_(Crystal_Cage),_c._1953",1948,1949,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
80,"""Nouveaux_Contes_de_Fées_(New_Fairy_Tales),_1948",1948,1950,,1,,,,,1,,,1,1,,,,,,1,,,,,,,,,,,,
81,"""Soap_Bubble_Set,_1948",1948,1948,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
82,"Sand_Fountain",1948,1948,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,
83,"Soap_Bubble_Set_(Nécessaire_à_bulles_de_savon)",1948,1949,1,1,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,
84,"Homage_to_a_Ballet_Dancer",1948,1948,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
85,"""Cygne_Crépusculaire_(Twilight_Swan),_1949",1949,1952,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
86,"""For_Juan_Gris_#7,_c._1954",1949,1953,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
87,"Burbuja_de_jabón_azul",1949,1950,,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,
88,"Untitled_(Hotel_Family,_Parmigianino,_Bel_Antea_Variant)",1950,1950,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,
89,"Untitled_(Weather_Prophet,_Yellow_Bird)",1950,1955,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,
90,"Central_Park_Carrousel,_in_Memoriam",1950,1960,,1,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,
91,"Space_Object_Box:_“Little_Bear,_etc.”_motif",1950,1955,,1,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
92,"Untitled_(Window_Facade)",1950,1951,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
93,"Untitled_(Pink_Palace)",1950,1950,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
94,"Untitled_[Blue_Sand_Tray]",1950,1952,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
95,"Grand_Hotel_de_la_Boule_D'Or",1950,1950,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
96,"Celestial_observatory",1950,1950,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Untitled_(Primary_Title)_Shadow_box_(Object_Name)",1950,1955,,1,1,1,,,1,1,1,,,,,1,,,,,,,,,,,,,,,
