"id_doc","type","name","place","date","link"
753,"Letter","Envelope from Helen Freeman Corle to Marcel Duchamp","Duchamp Archives","1950/July/28","https://www.duchamparchives.org/pma/archive/component/MDP_B004_F008_009"
754,"Letter","Correspondence from William Copley to Anne d'Harnoncourt","Duchamp Archives","1973/June/6","https://www.duchamparchives.org/pma/archive/component/MDE_B002_F012_002"
755,"Letter","Duchamp at chessboard with Eve Babitz seen through reconstruction of ""The Large Glass""","Duchamp Archives","1963/-/-","https://www.duchamparchives.org/pma/archive/component/MDR_B013_F018_001"
756,"Letter","Draft telegram from Fiske Kimball to Elizabeth S. Wrigley","Duchamp Archives","1954/January/29","https://www.duchamparchives.org/pma/archive/component/FKR_B180_F012_004"
757,"Letter","Correspondence from William Copley to Alexina Duchamp and Anne d'Harnoncourt","Duchamp Archives","1976/-/-","https://www.duchamparchives.org/pma/archive/component/EDR_B006_F017_008"
758,"Letter","Draft correspondence from Fiske Kimball to Katherine S. Dreier","Duchamp Archives","1951/-/-","https://www.duchamparchives.org/pma/archive/component/FKR_B081_F003_009"
759,"Letter","Duchamp : Lettre de Sonia Delaunay à Marcel Duchamp (11 mai 1942)","Duchamp Archives","1942/May/11","https://www.duchamparchives.org/cp/archive/component/FRM5050-X0031150364"
760,"Letter","Correspondence from Wolfgang Paalen to Walter Arensberg","Duchamp Archives","1944/November/27","https://www.duchamparchives.org/pma/archive/component/WLA_B014_F019_004"
761,"Letter","Excerpt of correspondence from Marcel Duchamp to Mary Ann Adler","Duchamp Archives","1951/June/6","https://www.duchamparchives.org/pma/archive/component/WLA_B006_F035_005"
762,"Letter","Draft correspondence from Evan H. Turner and Richard E. Oldenburg to Louis Aragon","Duchamp Archives","1973/-/-","https://www.duchamparchives.org/pma/archive/component/MDE_B008_F046_061"
763,"Photography","Eugène Duchamp, Yvonne Duvernoy, Magdeleine Duchamp, Jean Crotti, et une personne non identifiée","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumFam_no.098"
764,"Photography","Enrico Baj, Alexina and Marcel Duchamp at train station","Duchamp Archives","1964/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B030_F003_13-1972-9-365"
765,"Letter","Correspondence from Walter Arensberg to Wolfgang Paalen","Duchamp Archives","1944/November/10","https://www.duchamparchives.org/pma/archive/component/WLA_B014_F019_002"
766,"Letter","Draft correspondence from Fiske Kimball to Carl Van Vechten","Duchamp Archives","1954/March/22","https://www.duchamparchives.org/pma/archive/component/FKR_B181_F002_016"
767,"Photography","Enrico Baj, Lucio Fontana, et Marcel Duchamp","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits4_no.291"
768,"Letter","Draft correspondence from Fiske Kimball to James Johnson Sweeney","Duchamp Archives","1954/January/11","https://www.duchamparchives.org/pma/archive/component/FKR_B181_F005_064"
769,"Letter","Correspondence from W. C. Williams to Walter Arensberg","Duchamp Archives","1944/April/4","https://www.duchamparchives.org/pma/archive/component/WLA_B020_F027_003"
770,"Letter","Draft correspondence from Fiske Kimball to Beatrice Wood","Duchamp Archives","1954/May/21","https://www.duchamparchives.org/pma/archive/component/FKR_B181_F001_026"
771,"Letter","Correspondence from Wolfgang Paalen to Walter Arensberg","Duchamp Archives","1944/September/26","https://www.duchamparchives.org/pma/archive/component/WLA_B014_F019_001"
772,"Photography","Eugène Duchamp, Raymond Duchamp-Villon, Lucie Duchamp, Catherine ""Ketty"" Guilbert, Magdeleine Duchamp, Yvonne Duchamp, Georges Delacour, Marcel Duchamp, Le Dr Bon, Jacques Villon","Duchamp Archives","1903/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits1_no.012"
773,"Letter","Draft telegram from Fiske Kimball to Alfred H. Barr, Jr.","Duchamp Archives","1951/October/28","https://www.duchamparchives.org/pma/archive/component/FKR_B180_F008_020"
774,"Letter","Envelope from Julien Levy to Walter Arensberg","Duchamp Archives","1940/-/-","https://www.duchamparchives.org/pma/archive/component/WLA_B010_F030_012"
775,"Letter","Draft correspondence from Fiske Kimball to Henry Clifford","Duchamp Archives","1954/June/30","https://www.duchamparchives.org/pma/archive/component/FKR_B181_F005_002"
776,"Letter","Draft correspondence from Fiske Kimball to Katherine S. Dreier","Duchamp Archives","1951/January/31","https://www.duchamparchives.org/pma/archive/component/FKR_B081_F003_014"
777,"Photography","Gaby et Jacques Villon, Yvonne et Jean Crotti","Duchamp Archives","1918/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumFam_no.109"
778,"Photography","Francis Picabia and Tristan Tzara in a car in Paris, France","Duchamp Archives","1920/-/-","https://www.duchamparchives.org/pma/archive/component/WLA_B053_F035_001"
779,"Photography","Germaine Everling, Suzanne Duchamp, Marcel Duchamp, Jeanne Léger, Jean Crotti et Francis Picabia","Duchamp Archives","1925/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits1_no.029"
780,"Photography","Gaby et Jacques Villon dans un jardin","Duchamp Archives","1923/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumFam_no.107"
781,"Photography","Gaby Villon, Yvonne Duchamp-Villon, Suzanne Duchamp, et le chien Pipe","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumFam_no.054"
